record,id,value,role,x,y,label,source,target,cap,armored
META,team_id,BT2,,,,,,,,
META,team_name,My Team 2,,,,,,,,
META,strategy,mixed,,,,,,,,
META,intel_purchased,False,,,,,,,,
META,rationale,Explain your strategy here. Which paths did you armor vs. leave unprotected? How do you ensure D5 (demand=3) stays served? How does your design hold up across the attack budget range?,,,,,,,,
META,armor_enc,Sl9I91F2pEg7Q2PJyfFt55MxIw20IgdK3EuD0Yj8djTrZUk3zdnogGjJdYMwsUzbpuqZPvF2g6b9zPUTyiF6ZpuN-fb3KAo9CR2uNb0nGZV9iZNmKtZl4CIHN41t-8I6BgurCj6iwTnRpKxz8OoelNcup9oB-tMFvfFNzko9-qcZ2EDUgZablO1Q3LILmtb93I1t7KQw0LlnqQw2toFDsO1l2DKLGoiqLw0jvAdkz87-1qxiVna7SgwQ_C3d-rR8j7LaKPD_N0rCEOSwaW3gFO4kmOqZkKvKjdVFzzUgS9pyzw==,,,,,,,,
NODE,RC1,,relay,3,8,RC1,,,,
NODE,RC10,,relay,5,3,RC10,,,,
NODE,RC11,,relay,4,5,RC11,,,,
NODE,RC12,,relay,8,2,RC12,,,,
NODE,RC2,,relay,7,8,RC2,,,,
NODE,RC3,,relay,2,6,RC3,,,,
NODE,RC6,,relay,8,6,RC6,,,,
NODE,RC9,,relay,2,3,RC9,,,,
EDGE,S1-RC1,,,,,,S1,RC1,3,hidden
EDGE,S1-RC3,,,,,,S1,RC3,3,hidden
EDGE,S2-RC2,,,,,,S2,RC2,3,hidden
EDGE,S2-RC6,,,,,,S2,RC6,3,hidden
EDGE,S3-RC9,,,,,,S3,RC9,3,hidden
EDGE,S4-RC12,,,,,,S4,RC12,3,hidden
EDGE,S3-RC10,,,,,,S3,RC10,2,hidden
EDGE,RC1-RC11,,,,,,RC1,RC11,2,hidden
EDGE,RC2-RC11,,,,,,RC2,RC11,2,hidden
EDGE,RC3-RC9,,,,,,RC3,RC9,3,hidden
EDGE,RC6-RC11,,,,,,RC6,RC11,3,hidden
EDGE,RC9-RC10,,,,,,RC9,RC10,2,hidden
EDGE,RC10-RC11,,,,,,RC10,RC11,2,hidden
EDGE,RC11-RC12,,,,,,RC11,RC12,2,hidden
EDGE,RC1-D1,,,,,,RC1,D1,2,hidden
EDGE,RC1-D2,,,,,,RC1,D2,1,hidden
EDGE,RC2-D3,,,,,,RC2,D3,2,hidden
EDGE,RC3-D4,,,,,,RC3,D4,1,hidden
EDGE,RC11-D5,,,,,,RC11,D5,3,hidden
EDGE,RC6-D6,,,,,,RC6,D6,1,hidden
EDGE,RC9-D7,,,,,,RC9,D7,1,hidden
EDGE,RC10-D8,,,,,,RC10,D8,2,hidden
EDGE,RC12-D9,,,,,,RC12,D9,1,hidden
